Keyword,Landing Page Title,Description,Landing Page URL,Checkout URL
A1C Levels,A1C Levels | Superpower,"100+ biomarkers in one blood draw. A1C, glucose, insulin, metabolic, and more.",https://superpower.com/welcome-cms/a1c-levels,https://superpower.com/checkout?sp_variant=a1c-levels
A1C Test,A1C Test | HbA1c Diabetes Test | Superpower,Test your A1C (HbA1c). Gold standard for diabetes screening. Shows 3-month blood sugar average. Results in 10 days.,https://superpower.com/welcome-cms/a1c-test,https://superpower.com/checkout?sp_variant=a1c-test
Addisons Disease Biomarker Test,Addisons Disease Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Cortisol, DHEA, electrolytes, and more.",https://superpower.com/welcome-cms/addisons-disease-biomarker-test,https://superpower.com/checkout?sp_variant=addisons-disease-biomarker-test
Adrenal,Adrenal | Superpower,"100+ biomarkers in one blood draw. Cortisol, DHEA, thyroid, hormones, and more.",https://superpower.com/welcome-cms/adrenal,https://superpower.com/checkout?sp_variant=adrenal
Alcoholic Liver Disease Biomarker Test,Alcoholic Liver Disease Biomarker Test | Superpower,"100+ biomarkers in one blood draw. GGT, AST/ALT ratio, liver panel, and more.",https://superpower.com/welcome-cms/alcoholic-liver-disease-biomarker-test,https://superpower.com/checkout?sp_variant=alcoholic-liver-disease-biomarker-test
ANA Test,ANA Test | Antinuclear Antibody | Superpower,"ANA test for autoimmune disease screening. Test for lupus, Sjögren's, and more. Results in 10 days.",https://superpower.com/welcome-cms/ana-test,https://superpower.com/checkout?sp_variant=ana-test
Anemia of Chronic Disease Biomarker Test,Anemia of Chronic Disease Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Iron, ferritin, CBC, inflammation, and more.",https://superpower.com/welcome-cms/anemia-of-chronic-disease-biomarker-test,https://superpower.com/checkout?sp_variant=anemia-of-chronic-disease-biomarker-test
Anemia Test,Anemia Test | Iron & Ferritin Blood Work | Superpower,"Complete anemia test - CBC, ferritin, iron, TIBC. Catches iron deficiency before hemoglobin drops. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/anemia-test,https://superpower.com/checkout?sp_variant=anemia-test
Antibody Test,Antibody Blood Test | Autoimmune Screening | Superpower,Antibody blood test for autoimmune screening. ANA + thyroid antibodies. 24M Americans have autoimmune disease. 100+ biomarkers. ~10 days. $199/year.,https://superpower.com/welcome-cms/antibody-test,https://superpower.com/checkout?sp_variant=antibody-test
APOB Test,ApoB Test | Apolipoprotein B | Superpower,Test ApoB. Better predictor of heart disease than LDL cholesterol. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/apob-test,https://superpower.com/checkout?sp_variant=apob-test
Atherosclerosis Biomarker Test,Atherosclerosis Biomarker Test | Superpower,"100+ biomarkers in one blood draw. ApoB, Lp(a), hs-CRP, lipids, and more.",https://superpower.com/welcome-cms/atherosclerosis-biomarker-test,https://superpower.com/checkout?sp_variant=atherosclerosis-biomarker-test
Autoimmune Test,Autoimmune Panel | ANA & Inflammation Testing | Superpower,"Comprehensive autoimmune testing. ANA, inflammatory markers, thyroid antibodies. Results in 10 days.",https://superpower.com/welcome-cms/autoimmune-test,https://superpower.com/checkout?sp_variant=autoimmune-test
B12 Deficiency,B12 Deficiency | Superpower,"100+ biomarkers in one blood draw. B12, folate, iron, thyroid, and more.",https://superpower.com/welcome-cms/b12-deficiency,https://superpower.com/checkout?sp_variant=b12-deficiency
B12 Test,Vitamin B12 Test | Check B12 Levels | Superpower,"Test B12. 40% of Americans have suboptimal levels. Causes fatigue, brain fog, nerve problems. Results in 10 days. $199/year.",https://superpower.com/welcome-cms/b12-test,https://superpower.com/checkout?sp_variant=b12-test
Biological Age Test,Biological Age Test | How Old Is Your Body? | Superpower,Test your biological age. Find out if you're aging faster or slower than your years. Results in 10 days.,https://superpower.com/welcome-cms/biological-age-test,https://superpower.com/checkout?sp_variant=biological-age-test
Blood Test at Home,At-Home Blood Test | 100+ Biomarkers | Superpower,At-home blood test by licensed phlebotomist. 100+ biomarkers - not a finger-prick kit. Lab-quality results in ~10 days. $199/year.,https://superpower.com/welcome-cms/blood-test-at-home,https://superpower.com/checkout?sp_variant=blood-test-at-home
Blood Test General,Blood Test | 100+ Biomarkers | Superpower,"Get comprehensive blood testing. 100+ biomarkers, results in 10 days, only $199/year. Detect early signs of diabetes, heart disease & more.",https://superpower.com/welcome-cms/blood-test-general,https://superpower.com/checkout?sp_variant=blood-test-general
Blood Test Online,Order Blood Tests Online | No Doctor Visit | Superpower,"Order comprehensive blood tests online. No prescription needed. 100+ biomarkers, results in 10 days. Collection kit included. $199/year.",https://superpower.com/welcome-cms/blood-test-online,https://superpower.com/checkout?sp_variant=blood-test-online
BPH Biomarker Test,BPH Biomarker Test | Superpower,"100+ biomarkers in one blood draw. PSA, testosterone, metabolic, and more.",https://superpower.com/welcome-cms/bph-biomarker-test,https://superpower.com/checkout?sp_variant=bph-biomarker-test
BUN Test,BUN Test | Blood Urea Nitrogen | Superpower,Check BUN (blood urea nitrogen). Assess kidney function and hydration. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/bun-test,https://superpower.com/checkout?sp_variant=bun-test
CBC Test,CBC Blood Test | Complete Blood Count | Superpower,"Get a complete blood count (CBC) test. Check red cells, white cells, platelets. Detect anemia & infections early. Results in 10 days.",https://superpower.com/welcome-cms/cbc-test,https://superpower.com/checkout?sp_variant=cbc-test
Celiac Disease Biomarker Test,Celiac Disease Biomarker Test | Superpower,"100+ biomarkers in one blood draw. tTG-IgA, iron, B12, vitamin D, and more.",https://superpower.com/welcome-cms/celiac-disease-biomarker-test,https://superpower.com/checkout?sp_variant=celiac-disease-biomarker-test
Celiac Info,Celiac Info | Superpower,"100+ biomarkers in one blood draw. Celiac antibodies, iron, B12, vitamins, and more.",https://superpower.com/welcome-cms/celiac-info,https://superpower.com/checkout?sp_variant=celiac-info
Celiac Test,Celiac Disease Test | tTG-IgA Blood Test | Superpower,Test for celiac disease. Accurate tTG-IgA screening. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/celiac-test,https://superpower.com/checkout?sp_variant=celiac-test
Celiac Test at Home,At-Home Celiac Test | tTG-IgA Blood Test | Superpower,Celiac disease blood test at home. tTG-IgA gold standard screening. Licensed phlebotomist. 83% of celiac is undiagnosed. 100+ biomarkers. $199/year.,https://superpower.com/welcome-cms/celiac-test-at-home,https://superpower.com/checkout?sp_variant=celiac-test-at-home
CFS ME Biomarker Test,CFS ME Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Thyroid, B12, iron, cortisol, inflammation, and more.",https://superpower.com/welcome-cms/cfs-me-biomarker-test,https://superpower.com/checkout?sp_variant=cfs-me-biomarker-test
CGM Cost,CGM Cost vs Blood Testing | Metabolic Health | Superpower,CGMs cost $100-400/month. Baseline blood testing costs $199/year and catches insulin resistance CGMs can't. HbA1c + insulin + 100+ biomarkers.,https://superpower.com/welcome-cms/cgm-cost,https://superpower.com/checkout?sp_variant=cgm-cost
CGM Non Diabetic,CGM for Non-Diabetics | Blood Testing First | Superpower,Thinking about a CGM? Blood testing catches insulin resistance that CGMs miss. HbA1c + fasting insulin + 100+ biomarkers. $199/year.,https://superpower.com/welcome-cms/cgm-non-diabetic,https://superpower.com/checkout?sp_variant=cgm-non-diabetic
Cholestasis Biomarker Test,Cholestasis Biomarker Test | Superpower,"100+ biomarkers in one blood draw. ALP, bilirubin, GGT, liver panel, and more.",https://superpower.com/welcome-cms/cholestasis-biomarker-test,https://superpower.com/checkout?sp_variant=cholestasis-biomarker-test
Cholesterol Diet,Cholesterol & Diet | Advanced Lipid Testing | Superpower,"Your liver makes 80% of cholesterol. Diet isn't enough. Test ApoB, Lp(a), and advanced lipids. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/cholesterol-diet,https://superpower.com/checkout?sp_variant=cholesterol-diet
Cholesterol Foods,Cholesterol Foods | Superpower,"100+ biomarkers in one blood draw. Full lipid panel, ApoB, inflammation, and more.",https://superpower.com/welcome-cms/cholesterol-foods,https://superpower.com/checkout?sp_variant=cholesterol-foods
Cholesterol Levels Women,Cholesterol Levels Women | Lipid Panel | Superpower,"Women's cholesterol changes after menopause. Test LDL, ApoB, Lp(a) + hormones together. 44% of women over 50 have high cholesterol. $199/year.",https://superpower.com/welcome-cms/cholesterol-levels-women,https://superpower.com/checkout?sp_variant=cholesterol-levels-women
Cholesterol Test,Cholesterol Test | Lipid Panel | Superpower,"Get a cholesterol test. Complete lipid panel including LDL, HDL, triglycerides. Results in 10 days. Only $199/year.",https://superpower.com/welcome-cms/cholesterol-test,https://superpower.com/checkout?sp_variant=cholesterol-test
Chronic Infection Biomarker Test,Chronic Infection Biomarker Test | Superpower,"100+ biomarkers in one blood draw. CBC, CRP, immune markers, and more.",https://superpower.com/welcome-cms/chronic-infection-biomarker-test,https://superpower.com/checkout?sp_variant=chronic-infection-biomarker-test
Chronic Kidney Disease Biomarker Test,Chronic Kidney Disease Biomarker Test | Superpower,"100+ biomarkers in one blood draw. eGFR, creatinine, BUN, metabolic, and more.",https://superpower.com/welcome-cms/chronic-kidney-disease-biomarker-test,https://superpower.com/checkout?sp_variant=chronic-kidney-disease-biomarker-test
Chronic Stress Biomarker Test,Chronic Stress Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Cortisol, DHEA, thyroid, inflammation, and more.",https://superpower.com/welcome-cms/chronic-stress-biomarker-test,https://superpower.com/checkout?sp_variant=chronic-stress-biomarker-test
