Name,Slug,URL,Meta Title,Meta Description
BUN Test,bun-test,https://superpower.com/sem-landing-pages/bun-test,BUN Test at Home | Blood Urea Nitrogen | Superpower,Check BUN (blood urea nitrogen) at home. Assess kidney function and hydration. Results in 10 days. Only $199/year.
B12 Deficiency,b12-deficiency,https://superpower.com/sem-landing-pages/b12-deficiency,B12 Deficiency Test | Symptoms & Diagnosis | Superpower,"Test for B12 deficiency at home. Causes fatigue, nerve problems, memory issues. Results in 10 days."
DHEA Test,dhea-test,https://superpower.com/sem-landing-pages/dhea-test,DHEA Test at Home | DHEA-S Levels | Superpower,Test DHEA levels at home. DHEA-S blood test to assess adrenal function and hormone balance. Results in 10 days. Only $199/year.
Iron Test,iron-test,https://superpower.com/sem-landing-pages/iron-test,Iron Test at Home | Complete Iron Studies | Superpower,Test iron levels at home. Complete iron studies including ferritin. Results in 10 days.
B12 Test,b12-test,https://superpower.com/sem-landing-pages/b12-test,Vitamin B12 Test at Home | Check B12 Levels | Superpower,"Test B12 at home. Deficiency causes fatigue, brain fog, nerve problems. Results in 10 days."
Vitamin D and Sun,vitamin-d-sun,https://superpower.com/sem-landing-pages/vitamin-d-sun,Vitamin D from Sun | Is It Enough? | Superpower,Test if you get enough vitamin D from sun. Most people don't. Results in 10 days.
GFR Test,gfr-test,https://superpower.com/sem-landing-pages/gfr-test,GFR Test at Home | Kidney Filtration Rate | Superpower,Check your GFR (glomerular filtration rate) at home. Best indicator of kidney health. Results in 10 days. Only $199/year.
Epigenetic Test,epigenetic-test,https://superpower.com/sem-landing-pages/epigenetic-test,Epigenetic Age Test | Biological Aging Measure | Superpower,Test epigenetic age—the most accurate biological aging measure. Track your longevity progress. Results in 10 days.
Online Blood Test,blood-test-online,https://superpower.com/sem-landing-pages/blood-test-online,Order Blood Tests Online | No Doctor Visit | Superpower,"Order comprehensive blood tests online. No prescription needed. 100+ biomarkers, results in 10 days. At-home collection kit included. $199/year."
Causes of High Triglycerides,triglycerides-causes,https://superpower.com/sem-landing-pages/triglycerides-causes,Causes of High Triglycerides | Test & Understand | Superpower,"Understand what causes high triglycerides. Diet, alcohol, diabetes, and more. Test at home. Results in 10 days. Only $199/year."
Hypothyroidism,hypothyroidism,https://superpower.com/sem-landing-pages/hypothyroidism,Hypothyroidism Test at Home | Underactive Thyroid | Superpower,"Test for hypothyroidism at home. Check TSH, T3, T4, and thyroid antibodies. Detect underactive thyroid early. Results in 10 days."
Longevity Testing,longevity,https://superpower.com/sem-landing-pages/longevity,Longevity Panel | Healthy Aging Biomarkers | Superpower,Comprehensive longevity testing at home. 100+ biomarkers for healthy aging. Results in 10 days. Only $199/year.
Vitamin D Information,vitamin-d-info,https://superpower.com/sem-landing-pages/vitamin-d-info,Why Vitamin D Matters | Test Your Levels | Superpower,"Learn why vitamin D is essential and test your level. Affects immunity, bones, mood. Results in 10 days."
Telomere Test,telomere-test,https://superpower.com/sem-landing-pages/telomere-test,Telomere Test | Measure Cellular Age | Superpower,Test telomere length to understand biological aging. See how lifestyle affects cellular health. Results in 10 days.
Prostate Health,prostate-health,https://superpower.com/sem-landing-pages/prostate-health,Prostate Health Monitoring | PSA Test at Home | Superpower,Monitor prostate health at home. PSA testing and comprehensive markers. Results in 10 days. Only $199/year.
Vitamin D Deficiency,vitamin-d-deficiency,https://superpower.com/sem-landing-pages/vitamin-d-deficiency,Vitamin D Deficiency Test | Check Your Level | Superpower,Test for vitamin D deficiency at home. 42% of Americans are deficient. Results in 10 days.
LDL Cholesterol Levels,ldl-levels,https://superpower.com/sem-landing-pages/ldl-levels,LDL Cholesterol Test at Home | Know Your Levels | Superpower,Test LDL cholesterol at home. Know your 'bad' cholesterol number. Results in 10 days. Only $199/year.
